Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
91,tt7462410,2021-12-22,2021-12-22,,The Wheel of Time,https://www.imdb.com/title/tt7462410/,tvSeries,7.1,60,2021,"Action, Adventure, Drama, Fantasy",130314,2021-11-17,
92,tt7467858,2022-01-10,2022-01-10,,Fantastic Beasts and Where to Find Them: Newt,https://www.imdb.com/title/tt7467858/,video,7.2,,2017,Short,43375,2017-03-28,Josh Oreck
93,tt2628232,2022-01-23,2022-01-23,,Penny Dreadful,https://www.imdb.com/title/tt2628232/,tvSeries,8.2,60,2014,"Drama, Fantasy, Horror",128818,2014-04-28,
94,tt4123430,2022-04-15,2022-04-15,,Fantastic Beasts: The Crimes of Grindelwald,https://www.imdb.com/title/tt4123430/,movie,6.5,134,2018,"Adventure, Family, Fantasy",301284,2018-11-08,David Yates
95,tt4123432,2022-04-15,2022-04-15,,Fantastic Beasts: The Secrets of Dumbledore,https://www.imdb.com/title/tt4123432/,movie,6.2,142,2022,"Adventure, Family, Fantasy",161468,2022-04-06,David Yates
96,tt0089908,2022-05-27,2022-05-27,,Return to Oz,https://www.imdb.com/title/tt0089908/,movie,6.7,113,1985,"Adventure, Family, Fantasy, Horror, Mystery",29668,1985-06-21,Walter Murch
97,tt0032138,2022-05-27,2022-05-27,,The Wizard of Oz,https://www.imdb.com/title/tt0032138/,movie,8.1,102,1939,"Adventure, Family, Fantasy, Musical",419249,1939-08-10,"King Vidor, Victor Fleming"
98,tt11198330,2022-09-02,2022-09-02,,House of the Dragon,https://www.imdb.com/title/tt11198330/,tvSeries,8.5,,2022,"Action, Adventure, Drama, Fantasy, Romance",346336,2022-08-21,
99,tt7631058,2022-09-02,2022-09-02,,The Lord of the Rings: The Rings of Power,https://www.imdb.com/title/tt7631058/,tvSeries,7.0,,2022,"Action, Adventure, Drama, Fantasy",341529,2022-09-01,
100,tt0035521,2022-10-29,2022-10-29,,Les visiteurs du soir,https://www.imdb.com/title/tt0035521/,movie,7.3,120,1942,"Drama, Fantasy, Romance",2413,1942-12-05,Marcel Carné
101,tt2906216,2023-04-04,2023-04-04,,Dungeons & Dragons: Honor Among Thieves,https://www.imdb.com/title/tt2906216/,movie,7.3,134,2023,"Action, Adventure, Comedy, Fantasy",199399,2023-03-10,"Jonathan Goldstein, John Francis Daley"
102,tt0244353,2023-05-10,2023-05-10,,The Mists of Avalon,https://www.imdb.com/title/tt0244353/,tvMiniSeries,6.8,183,2001,"Drama, Fantasy",10308,2001-07-15,
103,tt13452446,2023-11-13,2023-11-13,,Damsel,https://www.imdb.com/title/tt13452446/,movie,,85,2024,"Action, Adventure, Fantasy",,2024-01-01,Juan Carlos Fresnadillo
