Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
263,tt0295700,2018-04-14,2018-04-14,,Wrong Turn,https://www.imdb.com/title/tt0295700/,movie,6.1,84,2003,"Horror, Thriller",128750,2003-05-30,Rob Schmidt
264,tt0289043,2018-04-14,2018-04-14,,28 Days Later...,https://www.imdb.com/title/tt0289043/,movie,7.5,113,2002,"Drama, Horror, Sci-Fi, Thriller",434486,2002-11-01,Danny Boyle
265,tt0281686,2018-04-14,2018-04-14,,Bubba Ho-Tep,https://www.imdb.com/title/tt0281686/,movie,6.9,92,2002,"Comedy, Fantasy, Horror, Mystery",50921,2002-06-09,Don Coscarelli
266,tt0308379,2018-04-14,2018-04-14,,Honogurai mizu no soko kara,https://www.imdb.com/title/tt0308379/,movie,6.7,101,2002,"Drama, Horror, Mystery, Thriller",34374,2002-01-19,Hideo Nakata
267,tt0280609,2018-04-14,2018-04-14,,Dog Soldiers,https://www.imdb.com/title/tt0280609/,movie,6.8,105,2002,"Action, Horror, Thriller",64630,2002-03-22,Neil Marshall
268,tt0293113,2018-04-14,2018-04-14,,Dracula: Pages from a Virgin's Diary,https://www.imdb.com/title/tt0293113/,movie,6.8,73,2002,"Drama, Horror, Musical",2217,2002-02-28,Guy Maddin
269,tt0325655,2018-04-14,2018-04-14,,Gin gwai,https://www.imdb.com/title/tt0325655/,movie,6.6,99,2002,"Fantasy, Horror, Mystery, Thriller",29865,2002-05-09,"Danny Pang, Oxide Chun Pang"
270,tt0337961,2018-04-14,2018-04-14,,Dans ma peau,https://www.imdb.com/title/tt0337961/,movie,6.2,93,2002,"Drama, Horror",5636,2002-09-27,Marina de Van
271,tt0364385,2018-04-14,2018-04-14,,Ju-on,https://www.imdb.com/title/tt0364385/,movie,6.7,92,2002,Horror,47320,2002-10-18,Takashi Shimizu
272,tt0309832,2018-04-14,2018-04-14,,Maléfique,https://www.imdb.com/title/tt0309832/,movie,6.3,90,2002,"Fantasy, Horror, Mystery",4408,2002-11-09,Eric Valette
273,tt0303361,2018-04-14,2018-04-14,,May,https://www.imdb.com/title/tt0303361/,movie,6.6,93,2002,"Drama, Horror",39814,2002-01-13,Lucky McKee
274,tt0298130,2018-04-14,2018-04-14,,The Ring,https://www.imdb.com/title/tt0298130/,movie,7.1,115,2002,"Horror, Mystery",368428,2002-10-02,Gore Verbinski
275,tt0286106,2018-04-14,2018-04-14,,Signs,https://www.imdb.com/title/tt0286106/,movie,6.8,106,2002,"Drama, Mystery, Sci-Fi, Thriller",379909,2002-07-29,M. Night Shyamalan
